date,Trust_Score,Stringency_z,Newcase_z,Death_z,Stringency_lag,Trust_lag,Cases_lag,Death_lag,Policy_change,Gap_signed,Gap_abs
2020-06-04,-0.0485071058706314,0.5554262470007367,-0.7534231872869057,0.06107776641548691,1.2578101950864446,-0.0485071058706314,-0.7347126578432883,0.09293262777523958,-0.7023839480857079,0.6039333528713682,0.6039333528713682
2020-06-05,0.0222717929170089,0.5554262470007367,-0.7552462652388279,0.02343107648211105,1.2578101950864446,-0.0485071058706314,-0.7386826507656681,0.06107776641548691,-0.7023839480857079,0.5331544540837279,0.5331544540837279
2020-06-06,0.359651210471428,0.5554262470007367,-0.7572772391495799,-0.027247187431145542,1.2578101950864446,0.0222717929170089,-0.7422568405555481,0.02343107648211105,-0.7023839480857079,0.19577503652930872,0.19577503652930872
2020-06-07,1.175967843155547,0.5554262470007367,-0.7589084125524113,-0.06103268135016572,1.2578101950864446,0.359651210471428,-0.7454952031086844,-0.027247187431145542,-0.7023839480857079,-0.6205415961548102,0.6205415961548102
2020-06-09,0.119824261844719,0.8797829539240374,-0.7616510242311365,-0.10929771215115407,1.2578101950864446,1.175967843155547,-0.7475981374092355,-0.06103268135016572,-0.37802724116240727,0.7599586920793184,0.7599586920793184
2020-06-10,-0.0485071058706314,0.8797829539240374,-0.7630103379442359,-0.12763842201275144,1.2578101950864446,0.119824261844719,-0.7503687345320181,-0.10929771215115407,-0.37802724116240727,0.9282900597946688,0.9282900597946688
2020-06-11,0.5637303686424577,0.8797829539240374,-0.7643176743285316,-0.17397282025447242,1.2578101950864446,-0.0485071058706314,-0.7511123570275247,-0.12763842201275144,-0.37802724116240727,0.31605258528157965,0.31605258528157965
2020-06-17,0.1638887578058007,0.7718585100736581,-0.7657049734856884,-0.30863219537755215,1.2578101950864446,0.5637303686424577,-0.7534231872869057,-0.17397282025447242,-0.4859516850127865,0.6079697522678574,0.6079697522678574
2020-06-18,0.1644450591773995,0.7718585100736581,-0.7659528489228941,-0.31683725706344357,1.2578101950864446,0.1638887578058007,-0.7552462652388279,-0.30863219537755215,-0.4859516850127865,0.6074134508962586,0.6074134508962586
2020-07-03,0.132896590281395,0.7718585100736581,-0.7764635287743934,-0.4867300659729045,1.2578101950864446,0.1644450591773995,-0.7572772391495799,-0.31683725706344357,-0.4859516850127865,0.6389619197922631,0.6389619197922631
2020-07-04,0.0955487704853895,0.690769333342833,-0.7769432863310103,-0.5094146415060377,1.2578101950864446,0.132896590281395,-0.7589084125524113,-0.4867300659729045,-0.5670408617436117,0.5952205628574435,0.5952205628574435
2020-07-05,-0.2671633467681633,0.690769333342833,-0.7773350863639238,-0.5243767904583698,1.2578101950864446,0.0955487704853895,-0.7616510242311365,-0.5094146415060377,-0.5670408617436117,0.9579326801109962,0.9579326801109962
2020-07-06,-0.1925629822266523,0.3664126264195323,-0.7783505733192998,-0.5345124501514391,1.2578101950864446,-0.2671633467681633,-0.7630103379442359,-0.5243767904583698,-0.8913975686669123,0.5589756086461846,0.5589756086461846
2020-07-07,-0.0485071058706314,0.3664126264195323,-0.777914793570507,-0.5432001492458937,1.2578101950864446,-0.1925629822266523,-0.7643176743285316,-0.5345124501514391,-0.8913975686669123,0.4149197322901637,0.4149197322901637
2020-07-08,0.2010861091586855,0.3664126264195323,-0.7779547730488826,-0.5504399038660418,0.7718585100736581,-0.0485071058706314,-0.7657049734856884,-0.5432001492458937,-0.4054458836541258,0.16532651726084682,0.16532651726084682
2020-07-09,-0.1618844159656479,0.3664126264195323,-0.7780107458450525,-0.5687805999068034,0.7718585100736581,0.2010861091586855,-0.7659528489228941,-0.5504399038660418,-0.4054458836541258,0.5282970423851803,0.5282970423851803
