date,Trust_Score,Stringency_Diff,Death_Diff,Newcase_Diff
2020-04-22,-0.0485071058706314,0.0,-0.14876699999999943,0.4986900000000105
2020-04-23,0.0369213789451484,0.0,-0.3562030000000007,0.9659300000000002
2020-04-24,-2.497457003922988,0.0,-0.3645859999999992,0.9366099999999875
2020-04-30,0.200538646473676,0.0,-3.3923150000000017,-2.7511459999999914
2020-05-01,0.3573188772351877,0.0,-0.5950689999999987,-0.1760100000000051
2020-05-02,0.2647306717872281,0.0,-0.5384960000000003,-0.4295439999999928
2020-05-03,-0.2139766935768717,0.0,-0.4588739999999998,-0.4085800000000006
2020-05-04,-0.0485071058706314,0.0,-0.4463020000000011,-1.045566000000008
2020-05-06,0.2406050348716606,0.0,-0.8863179999999993,-3.802993999999998
2020-05-07,0.3177758825896098,0.0,-0.3310600000000008,-2.1644599999999983
2020-05-08,-0.0485071058706314,0.0,-0.3981099999999991,-3.354599999999998
2020-05-09,-0.4566654222126909,0.0,-0.31639200000000045,-2.4599000000000046
2020-05-10,1.175967843155547,0.0,-0.4546840000000003,-3.5662249999999958
2020-05-14,0.2674864293619307,-8.329999999999998,-1.6427267999999993,-3.802997000000005
2020-05-15,0.2615530743548815,0.0,-0.36248970000000025,-1.0518479999999997
2020-05-16,0.0535324732148834,0.0,-0.34363149999999987,-2.424279999999996
2020-05-17,-0.1097308533219403,0.0,-0.30801130000000043,-1.1189000000000036
2020-05-18,1.175967843155547,0.0,-0.25143769999999943,-0.18438699999999386
2020-05-22,0.3162843893600842,0.0,-0.643262,-5.215237000000002
2020-05-23,0.4762678722834449,0.0,-0.2577236000000003,-0.13200600000000406
2020-05-24,0.6861778635450756,0.0,-0.25353289999999973,-0.9910829999999962
2020-05-25,1.175967843155547,0.0,-0.2828679000000003,-1.1524240000000034
2020-05-27,0.2250119736520993,0.0,-0.4693506000000003,-2.9753469999999993
2020-05-28,0.183150316918105,0.0,-0.15086249999999968,-2.0806489999999975
2020-05-29,0.4412828737398399,-1.8599999999999994,-0.15086249999999968,-1.8732110000000013
2020-05-30,0.2235984383574082,0.0,-0.11314700000000055,-1.6972060000000013
2020-05-31,-0.3983570913066823,0.0,-0.0963845000000001,-1.102134999999997
2020-06-02,0.157390129433325,-1.8499999999999943,-0.31639259999999947,-1.452053000000003
2020-06-03,-0.0485071058706314,0.0,-0.1676255000000002,-0.3897279999999981
2020-06-04,-0.0485071058706314,0.0,-0.13829059999999993,-1.2110920000000007
