date,Death_Raw
2020-09-21,0.40020517
2020-09-22,0.44211146
2020-09-23,0.4609693
2020-09-24,0.4882084
2020-09-25,0.5447819
2020-09-26,0.5364006
2020-09-27,0.5573538
2020-09-28,0.6034507
2020-09-29,0.63697577
2020-09-30,0.68935865
2020-10-01,0.7082165
2020-10-02,0.7145024
2020-10-03,0.7920291
2020-10-04,0.8632698
2020-10-05,0.911462
2020-10-06,0.9261292
2020-10-07,0.9533683
2020-10-08,1.0287997
2020-10-09,1.1314701
2020-10-10,1.1859483
2020-10-11,1.2320452
2020-10-12,1.3095719
2020-10-13,1.4457674
2020-10-14,1.5547237
2020-10-15,1.6280597
2020-10-16,1.6532036
2020-10-17,1.7684458
2020-10-18,1.9067366
2020-10-19,2.0722666
2020-10-20,2.1539838
2020-10-21,2.3069417
2020-10-22,2.4976156
2020-10-23,2.7281
2020-10-24,2.9166784
2020-10-25,3.0486834
2020-10-26,3.1178288
2020-10-27,3.3022165
2020-10-28,3.4886994
2020-10-29,3.645848
2020-10-30,3.7485185
2020-10-31,3.9119532
2020-11-01,4.178058
2020-11-02,4.431591
2020-11-03,4.649504
2020-11-04,4.766842
2020-11-05,4.9596105
2020-11-06,5.0832343
2020-11-07,5.2236204
2020-11-08,5.3598156
2020-11-09,5.521155
2020-11-10,5.6741133
2020-11-11,5.994696
2020-11-12,6.063842
2020-11-13,6.2084184
2020-11-14,6.2985168
2020-11-15,6.3676624
2020-11-16,6.4556656
2020-11-17,6.5059533
2020-11-18,6.3802342
2020-11-19,6.497572
2020-11-20,6.71758
2020-11-21,6.8328223
2020-11-22,6.9061584
2020-11-23,6.9878755
2020-11-24,7.105213
2020-11-25,7.264457
2020-11-26,7.3273168
2020-11-27,7.295887
2020-11-28,7.2455993
2020-11-29,7.191121
2020-11-30,7.1617866
2020-12-01,7.138738
2020-12-02,7.050735
2020-12-03,6.895682
2020-12-04,6.71758
2020-12-05,6.805583
2020-12-06,6.8873005
2020-12-07,6.725961
2020-12-08,6.5897655
2020-12-09,6.5918612
2020-12-10,6.6966267
2020-12-11,6.7678676
2020-12-12,6.7532005
2020-12-13,6.738533
2020-12-14,6.9082537
2020-12-15,7.0004473
2020-12-16,7.08426
2020-12-17,7.155501
2020-12-18,7.230932
2020-12-19,7.3796997
2020-12-20,7.5787544
2020-12-21,7.7044735
2020-12-22,7.8511453
2020-12-23,8.0502
2020-12-24,8.305829
2020-12-25,8.60965
2020-12-26,8.71232
2020-12-27,8.856896
2020-12-28,9.156527
2020-12-29,9.506444
2020-12-30,9.759977
2020-12-31,9.935984
2021-01-01,10.21047
2021-01-02,10.642105
2021-01-03,10.960593
2021-01-04,11.256032
2021-01-05,11.442515
2021-01-06,11.8071
2021-01-07,12.353977
2021-01-08,12.884092
2021-01-09,13.36811
2021-01-10,13.881462
2021-01-11,14.424149
2021-01-12,15.191034
2021-01-13,15.920203
2021-01-14,16.643087
2021-01-15,17.257015
2021-01-16,17.860466
2021-01-17,18.4262
2021-01-18,19.105082
2021-01-19,19.499002
2021-01-20,19.82168
2021-01-21,20.175789
2021-01-22,20.335032
2021-01-23,20.347605
2021-01-24,20.372747
2021-01-25,20.104548
2021-01-26,19.851015
2021-01-27,19.566051
2021-01-28,18.906027
2021-01-29,18.59173
2021-01-30,18.334007
2021-01-31,17.96104
2021-02-01,17.412067
2021-02-02,16.898716
2021-02-03,16.35603
2021-02-04,15.916013
2021-02-05,15.379612
2021-02-06,14.545677
2021-02-07,13.944322
2021-02-08,13.445637
2021-02-09,12.93857
2021-02-10,12.46922
2021-02-11,11.964249
2021-02-12,11.40899
2021-02-13,11.092598
2021-02-14,10.602294
2021-02-15,10.181136
2021-02-16,9.866838
2021-02-17,9.5211115
2021-02-18,9.200528
2021-02-19,8.766798
2021-02-20,8.444119
2021-02-21,8.096297
2021-02-22,7.815525
2021-02-23,7.41532
2021-02-24,6.9208255
2021-02-25,6.524811
2021-02-26,6.2356577
2021-02-27,5.887835
2021-02-28,5.540013
2021-03-01,5.2382874
2021-03-02,4.9638014
2021-03-03,4.7919855
2021-03-04,4.5070224
2021-03-05,4.196916
2021-03-06,3.943383
2021-03-07,3.7736623
2021-03-08,3.5662262
2021-03-09,3.392315
2021-03-10,3.1848788
2021-03-11,3.0612552
2021-03-12,2.9418223
2021-03-13,2.814008
2021-03-14,2.6317158
2021-03-15,2.4766624
2021-03-16,2.3530388
2021-03-17,2.2315104
2021-03-18,2.0848384
2021-03-19,2.0135977
2021-03-20,1.8606397
2021-03-21,1.7956849
2021-03-22,1.7244443
2021-03-23,1.7013958
2021-03-24,1.6343458
2021-03-25,1.5945348
2021-03-26,1.4751018
2021-03-27,1.4311001
2021-03-28,1.370336
2021-03-29,1.2949047
2021-03-30,1.1335654
2021-03-31,1.0581341
2021-04-01,0.9764168
2021-04-02,0.98270273
2021-04-03,0.9491777
2021-04-04,0.89679486
2021-04-05,0.8486026
2021-04-06,0.85488856
2021-04-07,0.80041033
2021-04-08,0.77736187
2021-04-09,0.72078836
2021-04-10,0.71659774
2021-04-11,0.69145393
2021-04-12,0.6935493
2021-04-13,0.6684055
2021-04-14,0.65373826
2021-04-15,0.65792894
2021-04-16,0.6348804
2021-04-17,0.5971648
2021-04-18,0.5845929
2021-04-19,0.5824976
2021-04-20,0.5615444
2021-04-21,0.52801937
2021-04-22,0.5028756
2021-04-23,0.5049709
2021-04-24,0.48401776
2021-04-25,0.47773182
2021-04-26,0.44001615
2021-04-27,0.4316349
2021-04-28,0.4295396
2021-04-29,0.40858644
2021-04-30,0.3771567
2021-05-01,0.34363165
2021-05-02,0.31639257
2021-05-03,0.29963005
2021-05-04,0.28286752
2021-05-05,0.27448627
2021-05-06,0.25353312
2021-05-07,0.25562844
2021-05-08,0.25562844
2021-05-09,0.25981906
2021-05-10,0.2682003
2021-05-11,0.2514378
2021-05-12,0.23257996
2021-05-13,0.24515186
2021-05-14,0.23048465
2021-05-15,0.22629403
2021-05-16,0.21791276
2021-05-17,0.20743619
2021-05-18,0.21372214
2021-05-19,0.22419871
2021-05-20,0.20324555
2021-05-21,0.18019709
2021-05-22,0.16343457
2021-05-23,0.17181583
2021-05-24,0.14876737
2021-05-25,0.15295799
2021-05-26,0.15924394
2021-05-27,0.15924394
2021-05-28,0.18019709
2021-05-29,0.1822924
2021-05-30,0.17391114
2021-05-31,0.19067366
2021-06-01,0.17600647
2021-06-02,0.16552989
2021-06-03,0.16343457
2021-06-04,0.15924394
2021-06-05,0.17600647
2021-06-06,0.17600647
2021-06-07,0.16552989
2021-06-08,0.17391114
2021-06-09,0.16343457
2021-06-10,0.17391114
2021-06-11,0.18438773
2021-06-12,0.18438773
2021-06-13,0.1822924
2021-06-14,0.19276898
2021-06-15,0.19067366
2021-06-16,0.20534088
2021-06-17,0.21791276
2021-06-18,0.21581745
2021-06-19,0.20115024
2021-06-20,0.2095315
2021-06-21,0.22629403
2021-06-22,0.24724717
2021-06-23,0.24724717
2021-06-24,0.24096122
2021-06-25,0.22629403
2021-06-26,0.2682003
2021-06-27,0.2786769
2021-06-28,0.27239096
