date,Newcase_Raw
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.002095315
2020-02-02,0.002095315
2020-02-03,0.002095315
2020-02-04,0.00419063
2020-02-05,0.0419063
2020-02-06,0.0419063
2020-02-07,0.044001617
2020-02-08,0.0419063
2020-02-09,0.0419063
2020-02-10,0.048192244
2020-02-11,0.048192244
2020-02-12,0.01257189
2020-02-13,0.02095315
2020-02-14,0.02095315
2020-02-15,0.023048466
2020-02-16,0.023048466
2020-02-17,0.01676252
2020-02-18,0.0146672055
2020-02-19,0.0146672055
2020-02-20,0.006285945
2020-02-21,0.00419063
2020-02-22,0.002095315
2020-02-23,0.006285945
2020-02-24,0.006285945
2020-02-25,0.018857835
2020-02-26,0.02095315
2020-02-27,0.027239095
2020-02-28,0.031429727
2020-02-29,0.048192244
2020-03-01,0.0691454
2020-03-02,0.07752666
2020-03-03,0.10686107
2020-03-04,0.18857835
2020-03-05,0.30382067
2020-03-06,0.4169677
2020-03-07,0.5028756
2020-03-08,0.651643
2020-03-09,0.7857431
2020-03-10,0.8590792
2020-03-11,1.0832778
2020-03-12,1.5170081
2020-03-13,2.2440825
2020-03-14,3.1555445
2020-03-15,3.9831939
2020-03-16,4.5782633
2020-03-17,5.387055
2020-03-18,6.338328
2020-03-19,7.4237013
2020-03-20,8.641079
2020-03-21,9.806074
2020-03-22,11.429943
2020-03-23,13.17115
2020-03-24,15.09884
2020-03-25,18.633636
2020-03-26,21.92328
2020-03-27,25.447601
2020-03-28,29.636135
2020-03-29,33.621426
2020-03-30,36.95507
2020-03-31,40.007946
2020-04-01,44.001614
2020-04-02,48.42273
2020-04-03,53.084805
2020-04-04,56.824944
2020-04-05,60.38279
2020-04-06,62.901356
2020-04-07,64.4477
2020-04-08,66.70645
2020-04-09,68.8311
2020-04-10,69.3654
2020-04-11,69.47227
2020-04-12,68.37013
2020-04-13,67.55086
2020-04-14,67.44819
2020-04-15,65.20621
2020-04-16,62.813354
2020-04-17,62.65411
2020-04-18,63.527855
2020-04-19,64.88981
2020-04-20,67.31828
2020-04-21,68.10193
2020-04-22,68.60062
2020-04-23,69.56655
2020-04-24,70.50316
2020-04-25,70.23915
2020-04-26,70.20563
2020-04-27,68.13755
2020-04-28,67.28895
2020-04-29,67.91335
2020-04-30,67.752014
2020-05-01,67.576004
2020-05-02,67.14646
2020-05-03,66.73788
2020-05-04,65.692314
2020-05-05,64.699135
2020-05-06,61.88932
2020-05-07,59.72486
2020-05-08,56.37026
2020-05-09,53.91036
2020-05-10,50.344135
2020-05-11,48.06443
2020-05-12,46.671047
2020-05-13,47.119446
2020-05-14,46.541138
2020-05-15,45.48929
2020-05-16,43.06501
2020-05-17,41.94611
2020-05-18,41.761723
2020-05-19,40.714066
2020-05-20,38.553795
2020-05-21,37.82672
2020-05-22,36.546486
2020-05-23,36.41448
2020-05-24,35.423397
2020-05-25,34.270973
2020-05-26,33.298748
2020-05-27,31.295626
2020-05-28,29.214977
2020-05-29,27.341766
2020-05-30,25.64456
2020-05-31,24.542425
2020-06-01,23.704298
2020-06-02,23.090372
2020-06-03,22.700644
2020-06-04,21.489552
2020-06-05,20.534088
2020-06-06,19.469667
2020-06-07,18.614779
2020-06-08,17.927515
2020-06-09,17.177393
2020-06-10,16.464985
2020-06-11,15.779818
2020-06-12,15.417328
2020-06-13,14.922833
2020-06-14,14.776161
2020-06-15,14.947977
2020-06-16,15.16589
2020-06-17,15.052743
2020-06-18,14.922833
2020-06-19,14.547772
2020-06-20,14.56663
2020-06-21,14.440911
2020-06-22,14.015562
2020-06-23,13.617453
2020-06-24,13.311537
2020-06-25,12.850567
2020-06-26,12.347692
2020-06-27,11.727478
2020-06-28,11.04231
2020-06-29,10.979451
2020-06-30,10.587626
2020-07-01,10.220946
2020-07-02,9.676165
2020-07-03,9.41425
2020-07-04,9.162812
2020-07-05,8.957472
2020-07-06,8.4252615
2020-07-07,8.653651
2020-07-08,8.632698
2020-07-09,8.603363
2020-07-10,8.731177
2020-07-11,8.974235
2020-07-12,8.974235
2020-07-13,9.097857
2020-07-14,8.695558
2020-07-15,8.750035
2020-07-16,8.951186
2020-07-17,9.085286
2020-07-18,9.064333
2020-07-19,9.093667
2020-07-20,9.192147
2020-07-21,9.363963
2020-07-22,9.552541
2020-07-23,9.726452
2020-07-24,9.808169
2020-07-25,10.00932
2020-07-26,10.41162
2020-07-27,10.464004
2020-07-28,10.704965
2020-07-29,10.786682
2020-07-30,10.929163
2020-07-31,11.444611
2020-08-01,11.733764
2020-08-02,11.57452
2020-08-03,11.635284
2020-08-04,11.63738
2020-08-05,12.037585
2020-08-06,12.477601
2020-08-07,12.538365
2020-08-08,12.87152
2020-08-09,13.447732
2020-08-10,13.764124
2020-08-11,13.89613
2020-08-12,14.815972
2020-08-13,15.46971
2020-08-14,15.786103
2020-08-15,15.892964
2020-08-16,16.337172
2020-08-17,16.345552
2020-08-18,16.293169
2020-08-19,15.872011
2020-08-20,15.323039
2020-08-21,15.406852
2020-08-22,16.12345
2020-08-23,16.192595
2020-08-24,16.460794
2020-08-25,16.940622
2020-08-26,16.944813
2020-08-27,17.26749
2020-08-28,17.489595
2020-08-29,17.68446
2020-08-30,18.55192
2020-08-31,19.3649
2020-09-01,20.077309
2020-09-02,20.523611
2020-09-03,22.656641
2020-09-04,26.19563
2020-09-05,29.466415
2020-09-06,32.525574
2020-09-07,35.293488
2020-09-08,38.004826
2020-09-09,43.071297
2020-09-10,45.338425
2020-09-11,45.941875
2020-09-12,46.939247
2020-09-13,47.42536
2020-09-14,47.6747
2020-09-15,47.02306
2020-09-16,45.969116
2020-09-17,46.34837
2020-09-18,48.514923
2020-09-19,50.708717
2020-09-20,54.163895
2020-09-21,58.813396
2020-09-22,65.489075
2020-09-23,70.09667
2020-09-24,76.15213
2020-09-25,81.80319
2020-09-26,88.103806
2020-09-27,93.01732
2020-09-28,97.04242
2020-09-29,100.56883
2020-09-30,109.69603
2020-10-01,117.920135
2020-10-02,129.6979
2020-10-03,141.58882
2020-10-04,155.2838
2020-10-05,165.46074
2020-10-06,175.79065
2020-10-07,189.97592
2020-10-08,204.40007
2020-10-09,216.67024
2020-10-10,227.28929
2020-10-11,231.56165
2020-10-12,233.61714
2020-10-13,234.13889
2020-10-14,240.253
2020-10-15,244.16287
2020-10-16,246.98526
2020-10-17,247.36452
2020-10-18,251.60124
2020-10-19,256.28217
2020-10-20,260.7012
2020-10-21,273.69424
2020-10-22,287.3075
2020-10-23,299.44775
2020-10-24,309.64984
2020-10-25,317.56805
2020-10-26,320.81998
2020-10-27,324.13895
2020-10-28,326.09805
2020-10-29,323.45377
2020-10-30,319.65497
2020-10-31,319.94623
2020-11-01,322.4522
2020-11-02,322.953
2020-11-03,323.11014
2020-11-04,333.83398
2020-11-05,337.1697
2020-11-06,337.43372
2020-11-07,338.3745
2020-11-08,339.9858
2020-11-09,344.3713
2020-11-10,353.3267
2020-11-11,352.45712
2020-11-12,356.32507
2020-11-13,364.1406
2020-11-14,365.73932
2020-11-15,367.2668
2020-11-16,366.12906
2020-11-17,357.72476
2020-11-18,348.17432
2020-11-19,339.16235
2020-11-20,325.16354
2020-11-21,310.94684
2020-11-22,295.67618
2020-11-23,283.75385
2020-11-24,274.66437
2020-11-25,258.0527
2020-11-26,243.7857
2020-11-27,234.85548
2020-11-28,227.98285
2020-11-29,222.64818
2020-11-30,219.61626
2020-12-01,217.43085
2020-12-02,215.7001
2020-12-03,215.71059
2020-12-04,215.42143
2020-12-05,217.72418
2020-12-06,220.40619
2020-12-07,224.19243
2020-12-08,230.22484
2020-12-09,237.31956
2020-12-10,246.49915
2020-12-11,257.46393
2020-12-12,272.24847
2020-12-13,290.176
2020-12-14,304.20413
2020-12-15,322.08765
2020-12-16,350.61115
2020-12-17,378.50607
2020-12-18,406.83057
2020-12-19,430.97067
2020-12-20,456.17523
2020-12-21,468.7492
2020-12-22,491.3786
2020-12-23,518.60724
2020-12-24,543.9543
2020-12-25,559.688
2020-12-26,555.4031
2020-12-27,509.30612
2020-12-28,541.8275
2020-12-29,574.2085
2020-12-30,570.47046
2020-12-31,647.1904
2021-01-01,708.426
2021-01-02,753.5905
2021-01-03,791.4382
2021-01-04,834.4844
2021-01-05,850.85925
2021-01-06,916.9958
2021-01-07,882.5236
2021-01-08,854.4946
2021-01-09,852.90216
2021-01-10,885.63727
2021-01-11,840.3387
2021-01-12,800.1903
2021-01-13,759.5831
2021-01-14,726.07697
2021-01-15,700.35693
2021-01-16,680.001
2021-01-17,666.06085
2021-01-18,647.6535
2021-01-19,631.7668
2021-01-20,605.2925
2021-01-21,584.08374
2021-01-22,562.0347
2021-01-23,539.04913
2021-01-24,515.74506
2021-01-25,497.08417
2021-01-26,471.86075
2021-01-27,439.97006
2021-01-28,413.1605
2021-01-29,392.87155
2021-01-30,376.67688
2021-01-31,360.13226
2021-02-01,349.28482
2021-02-02,345.57404
2021-02-03,329.3039
2021-02-04,313.66238
2021-02-05,300.2754
2021-02-06,287.11682
2021-02-07,274.27884
2021-02-08,264.12283
2021-02-09,255.49223
2021-02-10,241.29019
2021-02-11,228.63449
2021-02-12,216.03117
2021-02-13,204.81285
2021-02-14,196.98895
2021-02-15,190.10583
2021-02-16,184.51344
2021-02-17,181.45638
2021-02-18,178.7618
2021-02-19,174.66127
2021-02-20,171.84097
2021-02-21,167.97511
2021-02-22,166.4623
2021-02-23,164.58281
2021-02-24,158.13342
2021-02-25,151.4787
2021-02-26,144.9937
2021-02-27,137.09647
2021-02-28,128.82835
2021-03-01,121.77971
2021-03-02,115.022316
2021-03-03,105.66673
2021-03-04,99.70557
2021-03-05,94.1006
2021-03-06,89.72768
2021-03-07,86.972336
2021-03-08,86.299736
2021-03-09,85.32961
2021-03-10,84.69682
2021-03-11,83.79584
2021-03-12,83.959274
2021-03-13,83.95089
2021-03-14,84.474724
2021-03-15,83.95718
2021-03-16,83.98861
2021-03-17,83.59679
2021-03-18,82.28721
2021-03-19,81.717285
2021-03-20,81.08659
2021-03-21,79.96141
2021-03-22,79.68064
2021-03-23,81.70262
2021-03-24,81.19136
2021-03-25,80.39724
2021-03-26,80.91268
2021-03-27,80.87916
2021-03-28,79.594734
2021-03-29,78.51355
2021-03-30,77.75924
2021-03-31,73.01754
2021-04-01,69.44502
2021-04-02,64.713806
2021-04-03,60.644703
2021-04-04,56.83123
2021-04-05,54.268658
2021-04-06,48.783123
2021-04-07,45.740726
2021-04-08,44.76431
2021-04-09,43.27035
2021-04-10,42.16612
2021-04-11,42.597755
2021-04-12,42.329556
2021-04-13,42.254124
2021-04-14,42.54118
2021-04-15,40.827213
2021-04-16,39.274586
2021-04-17,37.594143
2021-04-18,36.324383
2021-04-19,34.945663
2021-04-20,35.38149
2021-04-21,35.08186
2021-04-22,35.178246
2021-04-23,35.588924
2021-04-24,35.723026
2021-04-25,35.037857
2021-04-26,34.7068
2021-04-27,33.732475
2021-04-28,33.497803
2021-04-29,32.7372
2021-04-30,32.299282
2021-05-01,31.92422
2021-05-02,31.515633
2021-05-03,31.241146
2021-05-04,29.988148
2021-05-05,28.852488
2021-05-06,29.638231
2021-05-07,29.784903
2021-05-08,29.986053
2021-05-09,30.315018
2021-05-10,30.683794
2021-05-11,32.33071
2021-05-12,33.849815
2021-05-13,33.380463
2021-05-14,32.89016
2021-05-15,32.588436
2021-05-16,32.496243
2021-05-17,32.536053
2021-05-18,31.731451
2021-05-19,31.834122
2021-05-20,32.846157
2021-05-21,33.847717
2021-05-22,34.54965
2021-05-23,35.44854
2021-05-24,36.227997
2021-05-25,37.072407
2021-05-26,38.143116
2021-05-27,39.431732
2021-05-28,41.755436
2021-05-29,44.332676
2021-05-30,46.89315
2021-05-31,48.988464
2021-06-01,50.74434
2021-06-02,51.850666
2021-06-03,56.049675
