date,Trust_Score
2020-04-21,0.3072525076977852
2020-04-22,-0.04850710587063143
2020-04-23,0.03692137894514846
2020-04-24,-2.497457003922988
2020-04-30,0.200538646473676
2020-05-01,0.3573188772351877
2020-05-02,0.26473067178722814
2020-05-03,-0.21397669357687174
2020-05-04,-0.04850710587063145
2020-05-06,0.24060503487166068
2020-05-07,0.3177758825896098
2020-05-08,-0.04850710587063143
2020-05-09,-0.4566654222126909
2020-05-10,1.175967843155547
2020-05-14,0.26748642936193073
2020-05-15,0.2615530743548815
2020-05-16,0.05353247321488345
2020-05-17,-0.10973085332194037
2020-05-18,1.175967843155547
2020-05-22,0.3162843893600842
2020-05-23,0.47626787228344497
2020-05-24,0.6861778635450756
2020-05-25,1.175967843155547
2020-05-27,0.22501197365209932
2020-05-28,0.18315031691810502
2020-05-29,0.4412828737398399
2020-05-30,0.22359843835740822
2020-05-31,-0.39835709130668234
2020-06-02,0.15739012943332506
2020-06-03,-0.04850710587063143
2020-06-04,-0.04850710587063142
2020-06-05,0.022271792917008933
2020-06-06,0.359651210471428
2020-06-07,1.175967843155547
2020-06-09,0.11982426184471902
2020-06-10,-0.04850710587063144
2020-06-11,0.5637303686424577
2020-06-17,0.16388875780580076
2020-06-18,0.16444505917739957
2020-07-03,0.132896590281395
2020-07-04,0.09554877048538955
2020-07-05,-0.2671633467681633
2020-07-06,-0.19256298222665238
2020-07-07,-0.048507105870631444
2020-07-08,0.2010861091586855
2020-07-09,-0.16188441596564795
2020-07-10,-0.04850710587063145
2020-07-11,-0.26828466082404806
2020-07-12,-0.46832708839389253
2020-07-22,0.1381841419629563
2020-07-23,-0.08593647112470675
2020-07-24,0.18472621775340253
2020-07-25,-0.09073037997498243
2020-07-26,-0.320612650098671
2020-07-27,-0.6607445803837206
2020-07-29,0.07752227674853102
2020-07-30,-0.1359696022296442
2020-07-31,-0.5587050012982057
2020-08-01,-0.11653349192764136
2020-08-02,-0.6607445803837206
2020-08-05,0.07153945775938605
2020-08-06,0.039687907208306034
2020-08-07,0.028828154067864032
2020-08-08,-0.1505466849561463
2020-08-09,-0.3156652765672522
2020-08-10,-0.1359696022296442
2020-08-12,0.019152561124076532
2020-08-13,-0.02714998466668647
2020-08-14,-0.17095460077324928
2020-08-15,-0.3400487604006739
2020-08-16,-0.32679686701294464
2020-08-19,-0.07332754402656748
2020-08-20,-0.2193640755021912
2020-08-21,-0.45666542221269085
2020-08-22,-0.1925629822266524
2020-08-23,-0.3310782479535957
2020-08-24,-0.048507105870631444
2020-08-25,0.8698491058990023
2020-08-27,0.03029573738352856
2020-08-28,-0.12814775296176498
2020-08-29,-0.2368878672592742
2020-08-30,-0.49377072369833264
2020-08-31,-0.35462584312717604
2020-09-02,0.023298523856212356
2020-09-03,-0.5732820840247078
2020-09-04,-1.2729820548968098
2020-09-05,0.359651210471428
2020-09-06,-0.048507105870631444
2020-09-09,-0.05252617025474361
2020-09-10,-0.14092030957072038
2020-09-11,-0.7482070767427332
2020-09-12,0.06280879858629386
2020-09-15,-0.21595667154942505
2020-09-16,-0.14628731958597055
2020-09-17,-0.15054668495614631
2020-09-18,-0.35462584312717604
2020-09-19,-0.6607445803837206
2020-09-20,1.175967843155547
2020-09-23,-0.009552441532576984
2020-09-24,-0.4086467967606839
2020-09-25,-0.04850710587063145
2020-09-26,-0.04850710587063145
2020-10-02,-0.0050860083874336185
2020-10-03,-0.07861714560078335
2020-10-04,-0.48067473493869434
2020-10-05,-1.2729820548968096
2020-10-06,-0.09344196638535357
2020-10-14,-0.16067275005623555
2020-10-15,-0.01969593059942724
2020-10-16,-0.2934020956758671
2020-10-17,-0.17095460077324925
2020-10-18,-0.3659635741366777
2020-10-19,-0.8277184370691085
2020-10-28,-0.021195396970419278
2020-10-29,-0.26820181968007767
2020-10-30,-0.45666542221269085
2020-10-31,0.04568327482368996
2020-11-01,-0.5732820840247078
2020-11-02,-0.048507105870631444
2020-11-03,-0.048507105870631444
